Transaction_ID,Customer_ID,Purchase_Date,Age,Gender,Location,Online_Offline,Online_Store,Category,Item_Purchased,Brand,Color,Size,Quantity,Purchase_Amount_,Discount_Pct,Festival_Sale,Shipping_Charge_,Delivery_Speed,Delivery_Time_Days,Subscription_Status,Payment_Method,Review_Rating,Return_Status,Previous_Purchases,Frequency_of_Purchases,Age_Group,Total_Purchase_Amount_,Net_Revenue_
TXN501568,CUST100510,2023-01-01,59,Male,Chennai,Online,Ajio,Clothing,Jacket,HRX,Red,S,1,400,21,Regular Day,0,Standard,8,Yes,UPI,3,Not Returned,0,Weekly,Gen X (41-60),400,400
TXN508080,CUST102612,2023-01-01,25,Male,Mumbai,Online,Flipkart,Footwear,Boots,Max,Black,7,1,718,21,Regular Day,99,Express,4,No,Cash on Delivery,3,Not Returned,0,Fortnightly,Gen Z (18-25),718,817
TXN501212,CUST100365,2023-01-01,39,Male,Chandigarh,Online,Amazon,Footwear,Sandals,Zara,Red,9,1,4450,60,Regular Day,0,Standard,8,No,Credit Card,3,Not Returned,0,Fortnightly,Millennials (26-40),4450,4450
TXN500349,CUST100086,2023-01-02,22,Male,Mumbai,Online,Shein,Clothing,T-shirt,Puma,Blue,XL,2,6123,26,Regular Day,99,Standard,4,No,UPI,5,Returned,0,Weekly,Gen Z (18-25),12246,12345
TXN504688,CUST101565,2023-01-02,37,Female,Hyderabad,Online,Myntra,Clothing,Kurta,Levis,Brown,M,1,2953,47,Regular Day,0,Standard,8,No,Credit Card,3,Not Returned,0,Quarterly,Millennials (26-40),2953,2953
TXN503278,CUST101052,2023-01-02,39,Female,Delhi,Online,Myntra,Clothing,Kurta,Allen Solly,Beige,L,3,3132,43,Regular Day,0,Standard,5,No,Debit Card,5,Not Returned,0,Fortnightly,Millennials (26-40),9396,9396
TXN507411,CUST102428,2023-01-02,49,Male,Bangalore,Online,Meesho,Footwear,Boots,HRX,Blue,11,2,1390,48,Regular Day,49,Standard,6,No,Credit Card,3,Not Returned,0,Weekly,Gen X (41-60),2780,2829
TXN502224,CUST100729,2023-01-02,45,Male,Indore,Online,Flipkart,Clothing,Trousers,Max,Navy,XXL,1,423,41,Regular Day,79,Express,4,No,Credit Card,4,Not Returned,0,Monthly,Gen X (41-60),423,502
TXN505960,CUST101941,2023-01-02,28,Female,Chennai,Online,Myntra,Footwear,Slippers,Zara,Beige,8,2,8441,55,Regular Day,0,Standard,6,Yes,UPI,4,Not Returned,0,Weekly,Millennials (26-40),16882,16882
TXN507732,CUST102512,2023-01-03,58,Female,Chennai,Offline,N/A - Offline,Clothing,Jacket,Max,Black,XXL,2,2730,42,Regular Day,0,N/A - Offline,0,Yes,UPI,5,Returned,0,Fortnightly,Gen X (41-60),5460,5460
TXN509448,CUST103005,2023-01-03,33,Male,Jaipur,Online,Ajio,Clothing,Hoodie,US Polo,Black,M,1,874,62,Regular Day,0,Standard,5,Yes,Credit Card,5,Not Returned,0,Monthly,Millennials (26-40),874,874
TXN505793,CUST101885,2023-01-03,25,Female,Hyderabad,Online,Flipkart,Clothing,Dress,US Polo,Blue,XL,1,1554,21,Regular Day,49,Express,3,No,Cash on Delivery,5,Not Returned,0,Fortnightly,Gen Z (18-25),1554,1603
TXN509881,CUST103157,2023-01-03,59,Female,Bangalore,Online,Amazon,Clothing,Kurta,HRX,White,M,1,665,61,Regular Day,0,Standard,5,No,UPI,4,Not Returned,0,Weekly,Gen X (41-60),665,665
TXN501497,CUST100490,2023-01-03,57,Male,Hyderabad,Online,Meesho,Footwear,Slippers,Roadster,Red,11,1,1655,38,Regular Day,79,Express,3,Yes,UPI,3,Not Returned,1,Rarely,Gen X (41-60),1655,1734
TXN508648,CUST102782,2023-01-03,49,Male,Mumbai,Online,Flipkart,Accessories,Socks,Bewakoof,Yellow,Free Size,2,626,24,Regular Day,0,Standard,6,Yes,Credit Card,5,Not Returned,0,Fortnightly,Gen X (41-60),1252,1252
TXN507175,CUST102353,2023-01-03,37,Female,Pune,Online,Myntra,Footwear,Sneakers,Zara,Navy,7,3,12056,20,Regular Day,199,Express,3,No,Credit Card,5,Not Returned,0,Fortnightly,Millennials (26-40),36168,36367
TXN507426,CUST102432,2023-01-03,24,Female,Bangalore,Offline,N/A - Offline,Footwear,Running Shoes,H&M,Brown,10,1,2092,49,Regular Day,0,N/A - Offline,0,Yes,Debit Card,5,Returned,0,Fortnightly,Gen Z (18-25),2092,2092
TXN502900,CUST100943,2023-01-03,37,Male,Kochi,Offline,N/A - Offline,Clothing,Shorts,HRX,Brown,L,2,712,36,Regular Day,0,N/A - Offline,0,No,UPI,4,Not Returned,0,Weekly,Millennials (26-40),1424,1424
TXN503760,CUST101229,2023-01-03,30,Female,Mumbai,Offline,N/A - Offline,Clothing,Hoodie,Zara,Yellow,M,1,3388,53,Regular Day,0,N/A - Offline,0,No,Credit Card,3,Not Returned,0,Monthly,Millennials (26-40),3388,3388
TXN506726,CUST102209,2023-01-03,23,Female,Kolkata,Online,Myntra,Clothing,Trousers,Zara,Blue,M,1,2866,27,Regular Day,0,Standard,7,No,UPI,4,Not Returned,0,Weekly,Gen Z (18-25),2866,2866
TXN507997,CUST102593,2023-01-03,21,Female,Chandigarh,Offline,N/A - Offline,Footwear,Formal Shoes,Max,Brown,8,1,605,67,Regular Day,0,N/A - Offline,0,No,UPI,4,Not Returned,0,Weekly,Gen Z (18-25),605,605
TXN502501,CUST100802,2023-01-04,39,Female,Kochi,Offline,N/A - Offline,Footwear,Sandals,HRX,Navy,9,2,1382,62,Regular Day,0,N/A - Offline,0,Yes,UPI,4,Returned,0,Monthly,Millennials (26-40),2764,2764
TXN501236,CUST100379,2023-01-04,29,Male,Kolkata,Online,Amazon,Clothing,Shirt,Allen Solly,Black,S,2,1566,45,Regular Day,79,Standard,8,No,Credit Card,4,Not Returned,0,Weekly,Millennials (26-40),3132,3211
TXN501598,CUST100517,2023-01-04,20,Male,Patna,Online,Ajio,Accessories,Watch,Bata,Navy,Not Applicable,1,732,53,Regular Day,0,Standard,6,Yes,UPI,3,Not Returned,0,Weekly,Gen Z (18-25),732,732
TXN507126,CUST102338,2023-01-04,19,Male,Lucknow,Online,Shein,Accessories,Sunglasses,Roadster,Beige,Not Applicable,1,744,59,Regular Day,0,Standard,6,Yes,UPI,3,Returned,0,Fortnightly,Gen Z (18-25),744,744
TXN502409,CUST100773,2023-01-04,48,Male,Nagpur,Online,Myntra,Clothing,Jacket,Roadster,Red,S,1,871,69,Regular Day,99,Standard,8,No,Cash on Delivery,3,Not Returned,0,Monthly,Gen X (41-60),871,970
TXN508997,CUST102876,2023-01-04,45,Female,Bangalore,Online,Myntra,Accessories,Backpack,Puma,Brown,Free Size,1,2410,35,Regular Day,0,Express,3,Yes,Credit Card,3,Not Returned,0,Rarely,Gen X (41-60),2410,2410
TXN501732,CUST100566,2023-01-04,27,Female,Chennai,Offline,N/A - Offline,Clothing,Dress,Zara,Yellow,S,1,2020,59,Regular Day,0,N/A - Offline,0,No,UPI,4,Not Returned,0,Weekly,Millennials (26-40),2020,2020
TXN500379,CUST100093,2023-01-04,34,Female,Bangalore,Online,Myntra,Footwear,Sneakers,US Polo,Beige,8,1,1910,45,Regular Day,99,Standard,5,No,UPI,4,Not Returned,0,Weekly,Millennials (26-40),1910,2009
TXN500037,CUST100010,2023-01-04,40,Male,Kolkata,Online,Amazon,Clothing,Jacket,Roadster,Grey,S,1,1200,43,Regular Day,79,Standard,5,No,Wallet,5,Not Returned,0,Fortnightly,Millennials (26-40),1200,1279
TXN501413,CUST100450,2023-01-05,58,Female,Kolkata,Online,Flipkart,Footwear,Formal Shoes,H&M,Beige,8,1,863,46,Regular Day,79,Express,4,No,UPI,3,Not Returned,0,Monthly,Gen X (41-60),863,942
TXN505372,CUST101755,2023-01-05,31,Male,Chennai,Online,Flipkart,Clothing,Jacket,Puma,Grey,XL,1,3366,53,Regular Day,79,Standard,5,No,UPI,4,Not Returned,0,Monthly,Millennials (26-40),3366,3445
TXN504345,CUST101435,2023-01-05,22,Female,Delhi,Online,Flipkart,Accessories,Cap,Allen Solly,Pink,Free Size,1,782,56,Regular Day,0,Standard,5,No,UPI,5,Not Returned,0,Fortnightly,Gen Z (18-25),782,782
TXN508813,CUST102825,2023-01-05,53,Male,Delhi,Online,Shein,Clothing,Hoodie,Puma,Brown,M,2,2697,56,Regular Day,99,Standard,5,No,Cash on Delivery,4,Not Returned,0,Fortnightly,Gen X (41-60),5394,5493
TXN501364,CUST100432,2023-01-05,52,Male,Chennai,Online,Amazon,Accessories,Wallet,Levis,Red,Not Applicable,1,2331,51,Regular Day,0,Express,2,No,UPI,4,Not Returned,0,Rarely,Gen X (41-60),2331,2331
TXN501186,CUST100355,2023-01-05,59,Female,Delhi,Online,Amazon,Clothing,Dress,H&M,Green,M,1,413,40,Regular Day,49,Standard,8,No,Wallet,4,Not Returned,0,Monthly,Gen X (41-60),413,462
TXN505208,CUST101713,2023-01-05,48,Female,Noida,Online,Myntra,Clothing,Dress,Max,Black,S,1,498,50,Regular Day,199,Express,2,No,Debit Card,5,Not Returned,0,Fortnightly,Gen X (41-60),498,697
TXN508189,CUST102642,2023-01-05,26,Male,Lucknow,Online,Flipkart,Accessories,Wallet,HRX,Black,Not Applicable,1,316,61,Regular Day,0,Standard,4,No,UPI,3,Not Returned,0,Rarely,Millennials (26-40),316,316
TXN500001,CUST100001,2023-01-05,50,Male,Bangalore,Online,Meesho,Clothing,Trousers,Zara,Green,M,1,2288,41,Regular Day,0,Express,2,No,EMI,3,Not Returned,0,Weekly,Gen X (41-60),2288,2288
TXN505866,CUST101915,2023-01-06,39,Female,Surat,Offline,N/A - Offline,Clothing,Hoodie,Levis,Grey,M,1,1302,26,Regular Day,0,N/A - Offline,0,Yes,Cash on Delivery,3,Returned,0,Fortnightly,Millennials (26-40),1302,1302
TXN505740,CUST101861,2023-01-06,30,Female,Nagpur,Online,Myntra,Accessories,Belt,HRX,Grey,Not Applicable,1,245,63,Regular Day,0,Express,2,No,Debit Card,4,Not Returned,0,Weekly,Millennials (26-40),245,245
TXN508807,CUST102824,2023-01-06,44,Female,Chennai,Online,Myntra,Clothing,Saree,Allen Solly,Black,S,1,1054,70,Regular Day,199,Standard,4,Yes,UPI,2,Not Returned,0,Fortnightly,Gen X (41-60),1054,1253
TXN507176,CUST102353,2023-01-06,37,Female,Pune,Online,Amazon,Clothing,Jacket,US Polo,Red,M,1,1075,37,Regular Day,199,Standard,8,No,Credit Card,5,Not Returned,1,Fortnightly,Millennials (26-40),1075,1274
TXN508568,CUST102756,2023-01-06,55,Female,Hyderabad,Offline,N/A - Offline,Clothing,Kurta,Puma,Green,XL,1,3149,68,Regular Day,0,N/A - Offline,0,No,UPI,4,Returned,0,Monthly,Gen X (41-60),3149,3149
TXN509211,CUST102941,2023-01-06,57,Male,Kolkata,Online,Shein,Footwear,Sneakers,Campus,Pink,10,3,2295,62,Regular Day,199,Standard,6,No,Credit Card,3,Not Returned,0,Fortnightly,Gen X (41-60),6885,7084
TXN502218,CUST100728,2023-01-06,38,Female,Bhubaneswar,Offline,N/A - Offline,Accessories,Bag,HRX,Red,Free Size,1,259,35,Regular Day,0,N/A - Offline,0,Yes,Cash on Delivery,3,Not Returned,0,Fortnightly,Millennials (26-40),259,259
TXN501031,CUST100313,2023-01-06,29,Female,Patna,Offline,N/A - Offline,Footwear,Formal Shoes,HRX,Grey,7,1,837,47,Regular Day,0,N/A - Offline,0,Yes,Wallet,4,Returned,0,Fortnightly,Millennials (26-40),837,837
TXN507552,CUST102470,2023-01-06,55,Male,Nagpur,Online,Ajio,Clothing,Shorts,US Polo,Navy,M,1,725,67,Regular Day,0,Express,2,Yes,UPI,5,Not Returned,0,Fortnightly,Gen X (41-60),725,725
TXN500618,CUST100158,2023-01-07,39,Female,Chennai,Online,Shein,Footwear,Running Shoes,HRX,Green,7,2,1842,65,Regular Day,0,Standard,6,Yes,Debit Card,3,Not Returned,0,Weekly,Millennials (26-40),3684,3684
TXN500470,CUST100115,2023-01-07,41,Female,Indore,Offline,N/A - Offline,Clothing,Saree,Zara,Yellow,S,1,3123,69,Regular Day,0,N/A - Offline,0,No,UPI,5,Not Returned,1,Weekly,Gen X (41-60),3123,3123
TXN506951,CUST102279,2023-01-07,46,Male,Bhubaneswar,Online,Myntra,Accessories,Belt,HRX,Navy,Not Applicable,3,809,20,Regular Day,0,Standard,8,No,Credit Card,3,Not Returned,0,Monthly,Gen X (41-60),2427,2427
TXN505020,CUST101652,2023-01-07,20,Male,Kolkata,Online,Myntra,Clothing,Shirt,H&M,Yellow,L,2,2000,27,Regular Day,0,Standard,4,Yes,UPI,4,Not Returned,0,Weekly,Gen Z (18-25),4000,4000
TXN501059,CUST100323,2023-01-07,56,Male,Pune,Online,Amazon,Accessories,Backpack,Bata,Black,Free Size,1,690,40,Regular Day,149,Standard,5,No,Debit Card,4,Not Returned,0,Fortnightly,Gen X (41-60),690,839
TXN500316,CUST100080,2023-01-07,57,Female,Mumbai,Online,Flipkart,Footwear,Boots,HRX,Grey,7,1,810,56,Regular Day,0,Express,2,Yes,UPI,5,Not Returned,0,Fortnightly,Gen X (41-60),810,810
TXN500469,CUST100115,2023-01-07,41,Female,Indore,Online,Myntra,Clothing,Jeans,Allen Solly,Brown,M,1,1010,54,Regular Day,0,Standard,4,No,Cash on Delivery,5,Not Returned,0,Weekly,Gen X (41-60),1010,1010
TXN500471,CUST100115,2023-01-07,41,Female,Indore,Offline,N/A - Offline,Accessories,Bag,Puma,Pink,Free Size,2,4465,32,Regular Day,0,N/A - Offline,0,No,UPI,3,Not Returned,2,Weekly,Gen X (41-60),8930,8930
TXN506504,CUST102142,2023-01-07,58,Female,Pune,Online,Myntra,Footwear,Sneakers,HRX,Blue,7,1,699,30,Regular Day,149,Standard,5,No,UPI,4,Not Returned,0,Monthly,Gen X (41-60),699,848
TXN501860,CUST100606,2023-01-07,31,Female,Hyderabad,Online,Amazon,Clothing,Shirt,Puma,Green,XS,2,5108,47,Regular Day,0,Standard,4,Yes,UPI,3,Not Returned,0,Fortnightly,Millennials (26-40),10216,10216
TXN503351,CUST101085,2023-01-08,53,Female,Delhi,Online,Ajio,Footwear,Slippers,Campus,Black,9,2,1478,29,Regular Day,0,Express,4,Yes,UPI,5,Not Returned,0,Fortnightly,Gen X (41-60),2956,2956
TXN505981,CUST101948,2023-01-08,18,Male,Kolkata,Online,Amazon,Clothing,T-shirt,Zara,Grey,L,1,2567,41,Regular Day,149,Express,2,No,UPI,3,Not Returned,0,Weekly,Gen Z (18-25),2567,2716
TXN503389,CUST101091,2023-01-08,36,Male,Pune,Offline,N/A - Offline,Footwear,Running Shoes,Max,Navy,7,1,765,41,Regular Day,0,N/A - Offline,0,No,UPI,5,Returned,0,Fortnightly,Millennials (26-40),765,765
TXN507177,CUST102353,2023-01-08,37,Female,Pune,Online,Amazon,Clothing,Jacket,US Polo,Green,L,1,898,58,Regular Day,99,Express,2,No,UPI,5,Not Returned,2,Fortnightly,Millennials (26-40),898,997
TXN509388,CUST102991,2023-01-08,44,Male,Kolkata,Online,Shein,Clothing,Jacket,Allen Solly,Beige,XXL,1,1083,34,Regular Day,149,Standard,5,No,UPI,5,Not Returned,0,Fortnightly,Gen X (41-60),1083,1232
TXN504074,CUST101343,2023-01-08,42,Male,Ahmedabad,Online,Flipkart,Clothing,Hoodie,Zara,Blue,L,1,1674,62,Regular Day,0,Standard,6,Yes,UPI,3,Not Returned,0,Weekly,Gen X (41-60),1674,1674
TXN507019,CUST102306,2023-01-08,31,Female,Ahmedabad,Online,Ajio,Footwear,Sneakers,Puma,White,7,1,1480,64,Regular Day,199,Standard,6,No,UPI,3,Not Returned,0,Monthly,Millennials (26-40),1480,1679
TXN504562,CUST101523,2023-01-08,24,Male,Mumbai,Offline,N/A - Offline,Clothing,Shorts,H&M,Brown,M,1,937,37,Regular Day,0,N/A - Offline,0,No,UPI,4,Not Returned,0,Weekly,Gen Z (18-25),937,937
TXN502396,CUST100772,2023-01-08,18,Male,Kolkata,Online,Ajio,Clothing,Shirt,Puma,Beige,L,1,2430,53,Regular Day,0,Express,4,No,Debit Card,3,Not Returned,0,Weekly,Gen Z (18-25),2430,2430
TXN503792,CUST101244,2023-01-08,54,Male,Kolkata,Online,Amazon,Clothing,Kurta,US Polo,Red,L,2,1792,58,Regular Day,199,Standard,4,No,EMI,3,Returned,0,Weekly,Gen X (41-60),3584,3783
TXN508226,CUST102658,2023-01-08,46,Female,Mumbai,Online,Meesho,Accessories,Bag,Bewakoof,Brown,Free Size,1,259,69,Regular Day,149,Standard,6,No,UPI,3,Not Returned,0,Fortnightly,Gen X (41-60),259,408
TXN506877,CUST102253,2023-01-09,39,Male,Chennai,Online,Meesho,Clothing,Jacket,Levis,Blue,S,2,4246,33,Regular Day,0,Standard,5,Yes,UPI,4,Not Returned,0,Monthly,Millennials (26-40),8492,8492
TXN504491,CUST101499,2023-01-09,53,Male,Bhubaneswar,Online,Ajio,Clothing,Jacket,Roadster,Blue,M,1,1187,48,Regular Day,0,Standard,5,Yes,UPI,4,Not Returned,0,Weekly,Gen X (41-60),1187,1187
TXN508206,CUST102653,2023-01-09,33,Female,Pune,Online,Myntra,Clothing,Jeans,Levis,Beige,L,1,2630,46,Regular Day,0,Standard,5,Yes,Credit Card,4,Not Returned,0,Weekly,Millennials (26-40),2630,2630
TXN501803,CUST100595,2023-01-09,51,Female,Chennai,Online,Amazon,Clothing,Kurta,US Polo,Pink,XL,1,504,52,Regular Day,79,Standard,5,No,UPI,4,Not Returned,0,Weekly,Gen X (41-60),504,583
TXN506263,CUST102066,2023-01-09,48,Male,Kolkata,Online,Ajio,Clothing,Shorts,Puma,Brown,L,2,5382,31,Regular Day,149,Standard,4,No,UPI,3,Not Returned,0,Fortnightly,Gen X (41-60),10764,10913
TXN508141,CUST102627,2023-01-09,18,Male,Mumbai,Online,Flipkart,Footwear,Boots,Puma,Pink,8,1,4821,67,Regular Day,0,Same Day,1,Yes,Wallet,4,Not Returned,0,Monthly,Gen Z (18-25),4821,4821
TXN501989,CUST100647,2023-01-09,40,Female,Hyderabad,Online,Ajio,Accessories,Bag,US Polo,White,Free Size,2,576,70,Regular Day,0,Express,2,Yes,Cash on Delivery,4,Not Returned,0,Quarterly,Millennials (26-40),1152,1152
TXN509031,CUST102885,2023-01-09,24,Male,Surat,Offline,N/A - Offline,Clothing,Jeans,Puma,Pink,XS,2,4907,47,Regular Day,0,N/A - Offline,0,Yes,UPI,4,Not Returned,0,Fortnightly,Gen Z (18-25),9814,9814
TXN502063,CUST100668,2023-01-10,56,Female,Kolkata,Online,Flipkart,Footwear,Formal Shoes,Zara,Yellow,11,1,3579,44,Regular Day,0,Express,2,No,UPI,4,Not Returned,0,Fortnightly,Gen X (41-60),3579,3579
TXN509513,CUST103031,2023-01-10,29,Male,Jaipur,Offline,N/A - Offline,Accessories,Cap,US Polo,Green,Free Size,2,1409,65,Regular Day,0,N/A - Offline,0,Yes,Cash on Delivery,4,Not Returned,0,Weekly,Millennials (26-40),2818,2818
TXN503820,CUST101254,2023-01-10,45,Female,Delhi,Online,Amazon,Accessories,Cap,HRX,Black,Free Size,1,198,27,Regular Day,0,Express,4,No,Net Banking,5,Not Returned,0,Weekly,Gen X (41-60),198,198
TXN503033,CUST100977,2023-01-10,42,Female,Pune,Online,Amazon,Accessories,Cap,Nike,Beige,Free Size,1,2375,49,Regular Day,0,Standard,6,No,Credit Card,4,Returned,0,Monthly,Gen X (41-60),2375,2375
TXN509791,CUST103125,2023-01-10,55,Male,Bangalore,Online,Shein,Accessories,Belt,Max,Brown,Not Applicable,1,288,59,Regular Day,0,Standard,7,Yes,UPI,4,Not Returned,0,Fortnightly,Gen X (41-60),288,288
TXN500272,CUST100071,2023-01-10,25,Female,Bangalore,Online,Ajio,Footwear,Boots,Nike,Navy,8,1,1673,53,Regular Day,79,Same Day,1,No,UPI,4,Not Returned,0,Fortnightly,Gen Z (18-25),1673,1752
TXN507011,CUST102300,2023-01-10,29,Male,Hyderabad,Online,Shein,Clothing,Hoodie,H&M,Red,S,2,2470,39,Regular Day,0,Same Day,1,Yes,UPI,4,Returned,0,Monthly,Millennials (26-40),4940,4940
TXN508273,CUST102668,2023-01-10,21,Female,Gurgaon,Online,Shein,Footwear,Slippers,Max,Yellow,8,1,863,62,Regular Day,0,Express,4,Yes,Credit Card,4,Returned,0,Weekly,Gen Z (18-25),863,863
TXN505707,CUST101855,2023-01-10,53,Female,Chennai,Online,Myntra,Footwear,Boots,Roadster,Brown,8,1,2009,63,Regular Day,0,Standard,5,Yes,Debit Card,3,Not Returned,0,Fortnightly,Gen X (41-60),2009,2009
TXN507567,CUST102478,2023-01-10,21,Male,Pune,Online,Amazon,Accessories,Cap,Roadster,Yellow,Free Size,1,765,48,Regular Day,79,Standard,8,Yes,Cash on Delivery,3,Not Returned,0,Weekly,Gen Z (18-25),765,844
TXN500286,CUST100073,2023-01-10,23,Male,Pune,Offline,N/A - Offline,Clothing,Jacket,Zara,Yellow,S,1,1823,53,Regular Day,0,N/A - Offline,0,No,Cash on Delivery,5,Not Returned,0,Quarterly,Gen Z (18-25),1823,1823
TXN500751,CUST100203,2023-01-11,47,Female,Mumbai,Online,Ajio,Footwear,Sneakers,Bata,Brown,11,3,7321,27,Regular Day,0,Standard,7,No,UPI,4,Not Returned,0,Weekly,Gen X (41-60),21963,21963
TXN507445,CUST102437,2023-01-11,46,Female,Pune,Online,Flipkart,Footwear,Formal Shoes,H&M,Navy,10,1,2131,38,Regular Day,199,Express,2,No,UPI,4,Not Returned,0,Fortnightly,Gen X (41-60),2131,2330
TXN501121,CUST100339,2023-01-11,58,Male,Surat,Online,Myntra,Accessories,Cap,Bewakoof,Green,Free Size,1,287,25,Regular Day,49,Express,2,No,UPI,5,Not Returned,0,Weekly,Gen X (41-60),287,336
TXN509004,CUST102881,2023-01-11,27,Female,Jaipur,Online,Flipkart,Clothing,Saree,HRX,Beige,S,3,1367,48,Regular Day,0,Same Day,1,No,UPI,4,Not Returned,0,Weekly,Millennials (26-40),4101,4101
TXN505884,CUST101924,2023-01-11,33,Male,Chennai,Online,Ajio,Clothing,Shorts,Puma,Beige,XL,1,2960,29,Regular Day,0,Standard,4,Yes,UPI,5,Returned,0,Weekly,Millennials (26-40),2960,2960
TXN509188,CUST102938,2023-01-11,55,Male,Mumbai,Online,Meesho,Clothing,Shorts,Nike,Navy,S,1,3341,52,Regular Day,79,Express,4,No,Credit Card,4,Not Returned,0,Fortnightly,Gen X (41-60),3341,3420
TXN509157,CUST102926,2023-01-11,43,Female,Mumbai,Online,Ajio,Clothing,Saree,Roadster,Beige,S,1,1090,58,Regular Day,0,Standard,6,No,UPI,5,Not Returned,0,Fortnightly,Gen X (41-60),1090,1090
TXN505411,CUST101766,2023-01-11,39,Female,Pune,Online,Shein,Accessories,Wallet,Nike,Beige,Not Applicable,3,8346,24,Regular Day,0,Standard,7,Yes,UPI,3,Not Returned,0,Weekly,Millennials (26-40),25038,25038
TXN504266,CUST101399,2023-01-12,30,Male,Visakhapatnam,Offline,N/A - Offline,Clothing,Jacket,Roadster,Brown,XL,1,880,52,Regular Day,0,N/A - Offline,0,No,Debit Card,5,Not Returned,1,Weekly,Millennials (26-40),880,880
TXN508207,CUST102653,2023-01-12,33,Female,Pune,Online,Flipkart,Footwear,Sandals,Campus,Brown,10,1,4202,51,Regular Day,0,Standard,7,Yes,Wallet,4,Not Returned,1,Weekly,Millennials (26-40),4202,4202
TXN500832,CUST100223,2023-01-12,26,Female,Pune,Online,Amazon,Footwear,Boots,Max,Navy,11,1,892,69,Regular Day,0,Standard,5,No,Cash on Delivery,5,Not Returned,0,Fortnightly,Millennials (26-40),892,892
TXN500890,CUST100249,2023-01-12,19,Female,Visakhapatnam,Online,Ajio,Clothing,Dress,Puma,Beige,XL,1,584,43,Regular Day,99,Same Day,1,Yes,UPI,5,Not Returned,0,Fortnightly,Gen Z (18-25),584,683
TXN509524,CUST103034,2023-01-12,22,Female,Pune,Online,Myntra,Clothing,Saree,Bewakoof,Pink,L,2,2134,20,Regular Day,0,Standard,5,No,UPI,5,Returned,0,Fortnightly,Gen Z (18-25),4268,4268
TXN506993,CUST102293,2023-01-12,49,Female,Noida,Online,Flipkart,Clothing,Jacket,Levis,Blue,M,1,1290,32,Regular Day,0,Standard,8,No,Debit Card,3,Not Returned,0,Fortnightly,Gen X (41-60),1290,1290
TXN504985,CUST101647,2023-01-12,45,Female,Kolkata,Online,Flipkart,Footwear,Boots,Nike,Beige,9,2,8947,61,Regular Day,99,Express,4,No,UPI,5,Not Returned,0,Weekly,Gen X (41-60),17894,17993
TXN508532,CUST102741,2023-01-12,22,Male,Chennai,Online,Meesho,Footwear,Sneakers,Campus,Beige,9,1,745,32,Regular Day,49,Standard,4,No,Credit Card,3,Returned,0,Fortnightly,Gen Z (18-25),745,794
